center,left,right,steering,throttle,reverse,
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_48_729.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_48_729.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_48_729.jpg,-0.09308337,0.2,0,12.48567
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_48_809.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_48_809.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_48_809.jpg,-0.08926138,0.2,0,12.57046
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_48_898.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_48_898.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_48_898.jpg,-0.08593369,0.2,0,13.18253
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_48_969.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_48_969.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_48_969.jpg,-0.08463442,0.2,0,12.73606
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_049.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_049.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_049.jpg,-0.08387848,0.2,0,12.79686
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_141.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_141.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_141.jpg,-0.08470463,0.2,0,12.89933
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_220.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_220.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_220.jpg,-0.08772456,0.2,0,13.51351
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_292.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_292.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_292.jpg,-0.09147114,0.2,0,13.08705
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_380.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_380.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_380.jpg,-0.1028703,0.2,0,13.67789
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_455.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_455.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_455.jpg,-0.207593,0.2,0,13.1985
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_534.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_534.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_534.jpg,-0.2267067,0.2,0,13.27802
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_611.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_611.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_611.jpg,-0.224759,0.2,0,13.32412
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_676.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_676.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_676.jpg,-0.2190165,0.2,0,13.42193
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_810.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_810.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_810.jpg,-0.2107833,0.2,0,13.61209
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_902.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_902.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_902.jpg,-0.2073547,0.2,0,14.19618
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_49_975.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_49_975.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_49_975.jpg,-0.2070242,0.2,0,14.28568
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_099.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_099.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_099.jpg,-0.2142418,0.2,0,14.41253
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_177.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_177.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_177.jpg,-0.2236802,0.2,0,13.92961
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_246.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_246.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_246.jpg,-0.2463166,0.2,0,13.99267
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_318.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_318.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_318.jpg,-0.2264771,0.2,0,14.10506
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_494.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_494.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_494.jpg,-0.200898,0.2,0,14.24344
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_558.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_558.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_558.jpg,-0.1921948,0.2,0,14.32027
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_625.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_625.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_625.jpg,-0.1868569,0.2,0,14.88718
/home/jiwon/Documents/IMG/center_2018_03_04_08_51_50_751.jpg,/home/jiwon/Documents/IMG/left_2018_03_04_08_51_50_751.jpg,/home/jiwon/Documents/IMG/right_2018_03_04_08_51_50_751.jpg,-0.1798191,0.2,0,15.01097
